"","pais","idnum","upm","prov","muni","cluster","ur","tamano","idiomaq","wt","estratopri","estratosec","q2","q1","nationality","ls3","a4","soct2","idio2","np1","sgl1","cp6","cp7","cp8","cp13","cp20","it1","l1","prot3","prot4","jc10","jc13","jc15a","vic1ext","vic1exta","arm2","vic41","vic43","aoj11","pese1","pese2","aoj17","aoj12","b1","b2","b3","b4","b6","b43","b11","b12","b13","b18","b21","b21a","b32","b17","b37","b47a","b15","b50","b60","epp3","m1","m2","sd2new2","sd3new2","sd6new2","infrax","ros1","ros4","ing4","eff1","eff2","pn4","w14a","e5","e16","d1","d2","d3","d4","d5","d6","dem11","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","vicbar1","vicbar1f","vicbar3","vicbar7","vb1","inf1","vb2","vb10","pol1","vb20","soc1","soc4","soc5","soc8","soc9","for5","for6b","for7b","mil10a","mil10e","wf1","cct1b","ed","ed2","q5a","q5b","q3c","ocup4a","ocup1a","q10a","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","www1","gi0","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","r26","colorr","sexi","colori","formatq","sex","year","fecha","lib1","lib4"
"1:3052",2,NA,710,207,NA,84,1,4,1,1,203,3,18,2,2,1,57,3,1,2,2,1,4,4,4,4,3,1,2,NA,2,1,2,2,NA,NA,0,0,1,3,2,4,3,1,6,2,2,2,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,4,NA,3,3,3,4,NA,7,5,1,3,3,2,9,1,5,8,3,3,5,5,2,1,1,0,0,0,NA,NA,NA,NA,2,NA,2,2,2,1,2,1,3,3,NA,NA,NA,NA,NA,1,1,2,NA,3,2,2,13,1,NA,1,5,1,2,1,2,3,1,1,9,3,0,3,2,2,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,2,6,2,2,2014,NA,NA,NA
"1:3053",2,NA,2202,222,NA,248,2,5,1,1,206,3,34,1,2,2,5,1,2,2,3,2,2,4,2,NA,1,7,2,NA,2,2,2,2,NA,NA,0,0,2,3,3,3,4,5,7,4,5,4,NA,NA,7,3,3,1,2,4,NA,NA,7,NA,NA,NA,NA,2,NA,3,2,2,4,NA,6,6,6,6,2,1,7,1,4,4,2,1,1,1,2,0,0,0,NA,0,NA,NA,NA,NA,2,NA,2,2,2,1,2,2,1,1,NA,NA,NA,NA,NA,4,4,NA,3,3,2,1,6,0,NA,NA,4,1,4,2,2,3,3,3,6,4,4,3,4,2,1,0,1,0,0,1,1,1,0,0,0,1,0,1,5,1,5,2,1,2014,NA,NA,NA
"1:3054",2,NA,710,207,NA,84,1,4,1,1,203,3,43,2,2,1,5,NA,2,2,4,1,2,4,4,4,2,10,2,NA,2,2,2,2,NA,NA,0,0,1,3,2,4,3,4,3,4,4,5,NA,NA,6,1,1,1,5,6,NA,NA,6,NA,NA,NA,NA,2,NA,2,2,2,5,NA,7,7,7,7,2,1,10,4,10,10,1,1,1,1,2,0,0,0,NA,0,0,NA,0,NA,2,NA,2,2,1,1,1,2,2,2,NA,NA,NA,NA,NA,4,1,2,NA,2,2,2,9,3,NA,1,5,1,4,2,1,2,2,2,4,2,3,2,2,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,7,2,6,2,2,2014,NA,NA,NA
"1:3055",2,NA,10105,201,NA,20,1,1,1,1,201,1,23,2,2,2,5,2,3,2,2,4,1,2,4,4,2,NA,2,NA,1,1,2,2,NA,NA,1,0,3,1,3,2,3,NA,5,NA,4,NA,NA,NA,3,1,3,2,3,4,NA,NA,5,NA,NA,NA,NA,2,NA,2,2,2,2,NA,5,3,1,1,3,2,1,7,NA,NA,1,4,1,1,1,1,0,0,NA,0,NA,1,0,NA,1,1,2,NA,2,1,2,1,1,4,NA,NA,NA,NA,NA,3,3,5,4,4,1,2,1,0,NA,1,5,1,3,2,2,4,3,3,4,2,2,2,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,4,2,5,2,2,2014,NA,NA,NA
"1:3056",2,NA,1504,215,NA,141,2,5,1,1,205,3,21,2,2,2,1,3,3,2,3,3,4,4,4,4,2,1,2,NA,2,2,NA,2,NA,NA,0,0,2,3,3,4,1,5,1,4,4,2,NA,NA,1,4,1,1,1,4,NA,NA,1,NA,NA,NA,NA,3,NA,3,2,3,5,NA,5,7,7,1,2,2,4,4,1,1,1,1,1,1,2,1,0,0,NA,NA,NA,NA,NA,NA,2,NA,2,2,2,1,2,2,4,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,2,5,0,NA,1,5,5,NA,2,2,3,3,1,6,2,0,3,5,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,1,4,2,2,2014,NA,NA,NA
"1:3057",2,NA,501,205,NA,183,2,5,1,1,206,2,70,1,2,2,1,3,3,2,3,1,4,4,4,NA,2,NA,2,NA,1,1,2,2,NA,NA,0,0,2,2,2,4,2,4,7,1,4,3,NA,NA,7,4,6,1,4,6,NA,NA,7,NA,NA,NA,NA,2,NA,2,3,4,4,NA,3,5,1,1,3,2,1,1,10,1,1,10,1,1,1,0,0,0,NA,NA,NA,0,NA,NA,2,NA,2,2,1,1,1,2,4,2,NA,NA,NA,NA,NA,4,1,2,3,2,2,1,6,0,NA,1,5,6,NA,2,2,4,3,2,6,2,3,2,5,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,5,2,6,2,1,2014,NA,NA,NA
"1:3058",2,NA,2101,221,NA,236,2,5,1,1,206,2,32,2,2,2,5,3,3,2,3,4,4,4,4,4,3,5,2,NA,2,2,2,1,2,NA,0,0,2,1,2,1,4,5,6,6,6,5,NA,NA,7,5,2,1,2,2,NA,NA,5,NA,NA,NA,NA,3,NA,3,2,3,4,NA,6,5,4,4,2,1,7,7,5,6,2,2,3,2,2,1,0,0,0,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,3,3,3,4,3,2,2,13,0,NA,1,1,7,NA,2,2,3,3,1,8,1,0,3,2,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,5,1,5,2,2,2014,NA,NA,NA
"1:3059",2,NA,10104,201,NA,15,1,1,1,1,201,1,31,2,2,1,5,3,1,2,2,1,2,4,4,4,1,NA,2,NA,2,1,NA,2,NA,NA,0,0,1,3,3,3,4,5,5,6,3,5,NA,NA,7,5,3,5,5,7,NA,NA,6,NA,NA,NA,NA,2,NA,2,2,2,4,NA,6,5,3,3,2,1,7,3,8,10,7,10,7,1,1,0,0,0,0,NA,NA,0,0,NA,2,NA,1,2,2,1,2,2,2,3,NA,NA,NA,NA,NA,2,1,4,3,3,2,2,13,4,NA,1,5,5,NA,2,2,3,2,2,8,3,4,2,4,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,5,2,6,2,2,2014,NA,NA,NA
"1:3060",2,NA,2004,220,NA,177,1,4,1,1,205,3,38,1,2,1,1,2,2,2,2,2,2,2,3,NA,3,3,2,NA,2,1,1,2,NA,NA,0,1,2,2,3,2,3,3,4,2,2,3,NA,NA,4,4,4,3,4,4,NA,NA,7,NA,NA,NA,NA,3,NA,1,2,3,4,NA,3,4,7,3,3,1,4,3,4,7,4,4,4,3,NA,1,0,0,NA,0,NA,NA,0,NA,2,NA,2,2,1,1,1,2,1,3,NA,NA,NA,NA,NA,3,1,1,3,2,2,2,6,0,NA,1,1,3,NA,2,2,2,2,2,12,3,5,3,5,2,1,0,1,0,0,0,1,0,1,0,0,1,0,1,8,1,4,2,1,2014,NA,NA,NA
"1:3061",2,NA,710,207,NA,84,1,4,1,1,203,3,32,1,2,2,4,2,1,1,3,4,4,4,4,NA,2,7,2,NA,1,1,2,2,NA,NA,1,0,2,3,2,3,3,2,4,1,1,4,NA,NA,5,1,4,1,4,4,NA,NA,2,NA,NA,NA,NA,3,NA,3,3,3,3,NA,6,5,1,4,3,2,4,4,1,1,1,1,4,3,2,0,0,0,NA,0,NA,NA,0,NA,2,NA,2,2,1,1,1,2,2,3,NA,NA,NA,NA,NA,2,2,2,3,2,2,2,8,2,NA,2,1,1,2,2,2,3,2,2,6,2,3,2,3,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,6,1,6,2,1,2014,NA,NA,NA
"1:3062",2,NA,919,209,NA,208,2,5,1,1,206,3,27,1,2,2,3,3,2,2,4,1,2,2,4,NA,2,5,2,NA,1,1,2,2,NA,NA,1,1,2,3,2,3,3,2,4,3,3,3,NA,NA,5,2,2,3,4,1,NA,NA,4,NA,NA,NA,NA,3,NA,3,3,3,3,NA,6,6,1,4,3,2,4,1,1,1,1,1,3,1,1,0,0,0,NA,0,NA,0,1,NA,2,NA,2,2,1,1,1,2,3,3,NA,NA,NA,NA,NA,13,2,2,NA,2,2,2,1,0,NA,2,2,1,4,2,1,3,2,2,15,9,2,2,5,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,5,1,6,2,1,2014,NA,NA,NA
"1:3063",2,NA,2211,222,NA,250,2,5,1,1,206,3,22,1,2,2,5,2,2,2,3,2,4,2,4,NA,1,4,2,NA,2,2,2,2,NA,NA,1,0,3,3,3,4,3,3,5,6,5,5,NA,NA,6,3,4,2,4,4,NA,NA,5,NA,NA,NA,NA,3,NA,3,3,2,4,NA,6,5,5,6,2,1,4,7,3,4,2,2,4,1,2,0,0,0,NA,0,NA,0,NA,NA,2,NA,2,2,1,1,1,2,3,3,NA,NA,NA,NA,NA,3,2,3,4,3,2,2,12,0,NA,1,4,1,4,2,1,3,3,1,7,1,0,2,3,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5,1,5,2,1,2014,NA,NA,NA
"1:3064",2,NA,501,205,NA,183,2,5,1,1,206,2,53,2,2,3,27,3,3,2,3,1,4,3,4,4,2,7,2,NA,2,2,2,1,1,NA,1,0,3,2,1,1,2,2,4,4,4,4,NA,NA,7,3,5,3,6,7,NA,NA,5,NA,NA,NA,NA,3,NA,3,3,2,4,NA,4,5,3,4,2,1,8,1,8,8,8,8,2,1,1,0,0,0,0,NA,NA,NA,NA,NA,1,2,1,2,1,1,1,2,2,3,NA,NA,NA,NA,NA,4,2,2,3,2,1,2,6,1,NA,1,1,5,NA,2,2,3,3,2,4,0,6,2,5,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,3,2,3,2,2,2014,NA,NA,NA
"1:3065",2,NA,1301,213,NA,110,2,5,1,1,203,2,21,2,2,2,3,3,3,2,3,4,4,4,4,4,2,6,2,NA,2,2,2,2,NA,NA,0,0,3,3,3,3,3,2,6,5,4,4,NA,NA,7,1,2,2,2,4,NA,NA,2,NA,NA,NA,NA,3,NA,2,2,3,4,NA,7,5,NA,NA,2,2,4,1,NA,7,4,4,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,1,1,2,4,1,NA,NA,NA,NA,NA,1,NA,NA,3,2,2,2,13,3,NA,1,2,7,NA,2,2,NA,3,1,6,3,0,2,2,2,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,6,2,2,2014,NA,NA,NA
"1:3066",2,NA,10104,201,NA,14,1,1,1,1,201,1,51,1,2,1,5,3,2,2,3,4,2,2,4,NA,2,5,1,NA,1,1,2,1,2,NA,0,0,2,3,3,2,4,5,5,3,5,4,NA,NA,3,4,3,1,5,6,NA,NA,3,NA,NA,NA,NA,3,NA,2,3,2,3,NA,7,5,5,5,2,1,10,1,5,6,5,10,5,3,2,0,0,0,NA,0,NA,NA,0,NA,2,NA,2,2,1,1,1,2,3,3,NA,NA,NA,NA,NA,2,1,4,4,3,2,2,9,0,NA,1,4,2,4,2,2,3,2,2,10,2,2,3,4,3,1,0,1,1,0,0,1,1,1,0,0,1,1,1,4,1,6,2,1,2014,NA,NA,NA
"1:3067",2,NA,10104,201,NA,13,1,1,1,1,201,1,30,2,2,1,13,3,3,1,3,1,2,4,4,1,4,4,2,NA,2,2,2,2,NA,NA,0,0,1,2,1,1,1,2,3,2,1,5,NA,NA,1,1,3,2,1,2,NA,NA,1,NA,NA,NA,NA,3,NA,3,3,2,2,NA,1,7,2,2,2,1,1,1,1,3,1,2,1,1,2,0,0,0,NA,0,NA,0,NA,NA,1,1,1,1,1,1,1,1,4,3,NA,NA,NA,NA,NA,12,4,NA,2,4,2,2,6,0,NA,1,5,1,4,2,2,2,3,2,3,1,3,2,5,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,4,2,5,2,2,2014,NA,NA,NA
"1:3068",2,NA,1001,210,NA,215,2,5,1,1,206,2,28,1,2,3,19,3,3,2,3,1,4,4,4,NA,1,5,2,NA,2,2,2,2,NA,NA,0,0,1,3,2,2,3,3,3,5,6,7,NA,NA,7,4,2,2,5,3,NA,NA,7,NA,NA,NA,NA,3,NA,2,3,3,4,NA,4,4,3,5,2,1,2,1,2,2,3,2,1,1,2,1,0,0,NA,NA,NA,0,NA,NA,2,NA,2,2,1,1,1,2,3,3,NA,NA,NA,NA,NA,4,3,3,3,2,2,2,6,0,NA,1,3,2,4,2,2,3,3,2,8,1,6,7,NA,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,6,1,5,2,1,2014,NA,NA,NA
"1:3069",2,NA,2201,222,NA,242,1,3,1,1,206,2,25,1,2,1,5,2,2,2,2,1,2,3,4,NA,1,4,2,NA,1,1,2,2,NA,NA,0,1,1,3,3,3,4,5,5,6,6,5,NA,NA,7,4,4,5,7,6,NA,NA,6,NA,NA,NA,NA,3,NA,4,2,3,3,NA,4,6,7,6,2,2,5,6,6,6,4,4,1,1,2,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,2,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,12,3,3,4,1,2,2,13,2,NA,1,1,1,4,2,1,4,3,2,15,2,5,2,5,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,1,4,2,1,2014,NA,NA,NA
"1:3070",2,NA,1413,214,NA,135,2,5,1,1,203,3,26,1,2,2,4,NA,3,2,2,1,2,4,4,NA,4,NA,2,NA,1,1,1,2,NA,NA,0,0,1,3,1,1,2,1,7,1,1,7,NA,NA,7,2,7,1,7,7,NA,NA,7,NA,NA,NA,NA,2,NA,2,4,1,3,NA,1,7,7,1,4,1,10,1,10,1,10,10,1,1,2,1,1,0,NA,NA,1,NA,NA,NA,2,NA,2,2,1,1,1,2,2,3,NA,NA,NA,NA,NA,4,1,2,2,1,2,2,7,0,NA,1,5,1,4,2,2,3,3,3,10,0,2,2,5,5,0,0,0,2,0,0,0,1,0,0,0,1,0,0,3,1,5,2,1,2014,NA,NA,NA
"1:3071",2,NA,609,206,NA,202,2,5,1,1,206,3,43,1,2,1,14,3,3,2,3,3,3,4,4,NA,3,1,2,NA,1,1,2,2,NA,NA,0,0,2,3,2,3,2,3,4,4,4,4,NA,NA,2,3,4,6,6,5,NA,NA,5,NA,NA,NA,NA,3,NA,4,3,3,3,NA,6,6,5,4,3,2,3,5,4,5,4,3,4,4,NA,0,0,0,NA,0,NA,NA,NA,NA,2,NA,2,2,1,1,1,2,1,3,NA,NA,NA,NA,NA,4,2,3,3,2,2,2,4,0,NA,1,5,1,4,2,2,2,3,2,3,0,6,2,5,4,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,6,1,5,2,1,2014,NA,NA,NA
"1:3072",2,NA,1614,216,NA,157,1,4,1,1,205,3,46,2,2,1,4,2,3,2,3,4,2,3,4,4,3,3,NA,NA,NA,NA,NA,2,NA,NA,0,0,3,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,4,NA,5,3,3,5,NA,NA,4,NA,NA,NA,NA,3,NA,3,3,3,NA,NA,5,NA,4,NA,4,2,NA,3,NA,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,0,NA,NA,2,NA,2,2,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,NA,1,2,5,NA,2,2,3,3,2,5,2,4,3,5,2,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,4,1,5,2,2,2014,NA,NA,NA
"1:3073",2,NA,710,207,NA,85,2,5,1,1,203,3,38,1,2,2,1,2,2,1,3,1,2,2,2,NA,2,4,2,NA,1,1,2,1,2,NA,0,0,2,3,3,3,3,2,3,3,1,4,NA,NA,5,2,2,2,4,3,NA,NA,3,NA,NA,NA,NA,3,NA,3,3,3,3,NA,7,6,2,5,3,2,3,1,3,4,3,2,1,1,1,0,0,0,NA,0,NA,NA,0,NA,2,NA,2,2,1,1,1,1,3,3,NA,NA,NA,NA,NA,4,2,2,2,2,2,2,6,1,NA,2,1,1,4,2,2,3,2,2,6,1,3,3,5,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,5,1,6,2,1,2014,NA,NA,NA
"1:3074",2,NA,502,205,NA,186,1,4,1,1,206,2,51,2,2,1,1,2,3,2,3,3,4,4,4,3,3,3,2,NA,2,1,2,2,NA,NA,0,0,4,2,1,4,3,3,3,4,4,4,NA,NA,4,1,4,3,4,1,NA,NA,4,NA,NA,NA,NA,4,NA,2,3,NA,3,NA,3,4,4,4,3,2,3,3,3,3,4,2,3,4,2,0,0,0,NA,NA,NA,0,0,NA,2,NA,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,2,1,2,2,2,2,2,9,0,NA,1,1,7,NA,NA,2,3,2,6,3,1,4,3,3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,7,1,4,2,2,2014,NA,NA,NA
"1:3075",2,NA,110,201,NA,45,1,1,1,1,201,2,43,2,2,1,1,3,3,2,3,1,2,4,4,4,3,5,2,NA,2,2,2,2,NA,NA,0,0,1,3,3,4,4,1,7,1,7,3,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,4,NA,1,2,3,1,NA,7,7,1,1,2,2,6,5,5,5,4,4,1,1,2,0,0,0,NA,0,NA,NA,NA,NA,1,2,2,2,1,1,2,2,4,1,NA,NA,NA,NA,NA,4,1,4,4,4,2,2,9,0,NA,1,1,1,4,2,2,3,3,2,8,1,6,3,5,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,7,2,4,2,2,2014,NA,NA,NA
"1:3076",2,NA,2211,222,NA,251,2,5,1,1,206,3,44,2,2,2,19,3,3,2,5,1,4,3,4,4,2,4,2,NA,1,1,2,1,2,NA,0,1,2,1,2,1,2,1,7,3,7,3,NA,NA,6,4,1,3,5,5,NA,NA,7,NA,NA,NA,NA,3,NA,3,3,4,6,NA,6,3,6,3,2,2,4,10,7,6,5,6,7,10,1,0,0,0,NA,NA,NA,0,NA,NA,2,NA,2,1,1,1,1,2,4,3,NA,NA,NA,NA,NA,2,2,3,4,1,2,2,0,0,NA,1,1,5,NA,2,2,3,2,2,3,0,1,2,5,3,0,0,1,0,0,0,0,1,0,0,0,0,NA,0,6,1,4,2,2,2014,NA,NA,NA
"1:3077",2,NA,806,208,NA,90,2,5,1,1,203,3,39,1,2,1,1,2,3,2,3,1,2,4,3,NA,1,4,2,NA,1,1,1,2,NA,NA,0,0,3,3,3,4,3,NA,6,3,3,4,NA,NA,6,4,6,5,5,5,NA,NA,4,NA,NA,NA,NA,3,NA,2,1,1,6,NA,4,6,5,4,2,NA,4,1,3,4,3,3,2,2,2,0,0,0,NA,0,NA,NA,0,NA,1,3,2,2,1,1,1,1,2,3,NA,NA,NA,NA,NA,1,3,2,3,3,2,2,3,1,NA,1,5,1,4,1,2,2,2,2,6,2,5,3,5,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,2,5,2,1,2014,NA,NA,NA
"1:3078",2,NA,502,205,NA,187,2,5,1,1,206,2,31,1,2,1,19,2,3,2,3,1,4,4,2,NA,1,3,2,NA,1,1,2,2,NA,NA,0,0,2,2,2,2,1,3,3,3,4,4,NA,NA,4,4,4,4,4,4,NA,NA,3,NA,NA,NA,NA,2,NA,3,2,2,2,NA,4,4,5,4,2,2,3,4,4,3,3,3,4,4,2,0,0,0,NA,0,NA,NA,0,NA,2,NA,2,2,1,1,1,2,3,3,NA,NA,NA,NA,NA,4,2,3,2,2,2,2,5,2,NA,1,5,5,NA,2,2,3,3,3,6,1,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,1,5,2,1,2014,NA,NA,NA
"1:3079",2,NA,1212,212,NA,232,2,5,1,1,206,3,52,1,2,2,5,3,3,2,4,1,2,2,4,NA,3,6,2,NA,1,1,2,2,NA,NA,1,0,2,3,2,3,4,3,3,2,2,3,NA,NA,5,2,1,2,3,2,NA,NA,1,NA,NA,NA,NA,3,NA,2,3,3,4,NA,6,2,1,3,3,2,1,1,1,1,1,1,1,1,2,1,1,0,NA,NA,NA,0,0,NA,1,2,2,1,1,1,1,2,4,1,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,1,NA,1,1,5,NA,2,2,3,3,5,8,2,7,2,5,2,0,0,1,0,0,0,0,1,0,0,0,0,NA,0,5,1,6,2,1,2014,NA,NA,NA
"1:3080",2,NA,10104,201,NA,13,1,1,1,1,201,1,34,1,2,1,5,3,3,2,3,2,3,4,4,NA,4,6,2,NA,2,2,2,1,1,NA,0,0,4,2,2,1,4,1,5,5,5,6,NA,NA,4,1,1,1,4,1,NA,NA,1,NA,NA,NA,NA,4,NA,2,3,3,3,NA,7,7,2,1,3,1,4,9,2,2,2,4,1,1,2,0,0,0,0,0,NA,NA,0,NA,1,1,1,1,1,1,1,2,4,4,NA,NA,NA,NA,NA,2,1,4,2,3,2,2,9,1,NA,1,5,1,2,2,2,3,2,2,4,2,2,2,2,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,3,2,5,2,1,2014,NA,NA,NA
"1:3081",2,NA,1606,216,NA,152,2,5,1,1,205,3,44,2,2,2,18,3,2,2,4,2,2,3,4,4,2,3,2,NA,2,2,NA,2,NA,NA,0,1,2,NA,2,4,4,3,4,4,1,4,NA,NA,3,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,2,NA,3,2,3,5,NA,6,3,NA,NA,3,2,4,1,NA,NA,1,4,1,1,2,0,0,0,NA,0,NA,NA,NA,NA,2,NA,2,2,2,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,1,6,0,NA,2,5,3,NA,2,2,3,2,3,9,2,9,3,5,4,1,0,1,0,0,0,0,1,0,0,0,1,0,0,5,1,4,2,2,2014,NA,NA,NA
"1:3082",2,NA,1705,217,NA,161,1,4,1,1,205,2,19,2,2,2,5,3,2,2,3,1,4,4,4,4,3,NA,2,NA,2,2,NA,2,NA,NA,0,0,3,3,2,4,4,3,3,4,3,3,NA,NA,6,3,4,3,2,3,NA,NA,2,NA,NA,NA,NA,3,NA,3,2,3,2,NA,5,6,2,5,2,2,8,3,6,6,4,3,3,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,3,3,NA,NA,NA,NA,NA,11,2,5,3,3,2,2,12,3,NA,1,1,4,NA,1,2,2,2,1,8,2,0,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3,1,4,2,2,2014,NA,NA,NA
"1:3083",2,NA,1304,213,NA,115,2,5,1,1,203,3,34,2,2,1,3,3,2,1,5,1,2,2,4,4,2,10,1,NA,NA,2,2,2,NA,NA,0,1,2,3,1,3,2,2,3,1,3,4,NA,NA,3,1,1,1,2,1,NA,NA,1,NA,NA,NA,NA,3,NA,3,3,3,4,NA,5,6,1,3,3,NA,9,1,8,9,6,7,7,3,2,0,0,0,NA,0,NA,NA,0,NA,1,3,1,2,1,1,1,2,2,3,NA,NA,NA,NA,NA,2,1,3,2,2,2,2,13,1,NA,1,1,1,1,2,2,2,2,3,4,0,2,3,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,5,2,2,2014,NA,NA,NA
"1:3084",2,NA,1705,217,NA,162,2,5,1,1,205,2,48,2,2,2,5,1,2,1,2,2,2,2,3,2,2,3,2,NA,NA,2,1,2,NA,NA,0,0,2,2,3,4,2,3,3,3,3,7,NA,NA,7,1,1,3,6,5,NA,NA,6,NA,NA,NA,NA,2,NA,2,2,3,4,NA,4,6,3,3,3,2,1,1,1,1,1,3,1,1,1,1,0,0,NA,0,NA,NA,NA,NA,1,1,2,2,1,1,1,2,3,2,NA,NA,NA,NA,NA,10,1,4,4,NA,2,2,9,0,NA,1,1,1,4,2,2,2,2,2,6,4,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,1,5,2,2,2014,NA,NA,NA
"1:3085",2,NA,504,205,NA,192,2,5,1,1,206,3,28,1,2,1,5,2,1,2,3,4,4,4,4,NA,3,8,2,NA,1,1,2,2,NA,NA,0,0,1,3,3,4,2,2,NA,NA,4,4,NA,NA,7,4,4,3,4,5,NA,NA,5,NA,NA,NA,NA,2,NA,3,2,2,3,NA,6,5,4,4,2,2,8,1,3,4,4,NA,NA,1,NA,0,0,0,0,0,NA,NA,NA,NA,2,NA,2,2,1,1,1,2,3,3,NA,NA,NA,NA,NA,NA,2,2,3,2,2,2,6,0,NA,3,1,1,2,2,NA,3,3,3,3,1,1,2,5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,3,2,1,2014,NA,NA,NA
"1:3086",2,NA,919,209,NA,208,2,5,1,1,206,3,25,2,2,1,57,3,3,2,4,1,4,4,4,4,3,5,2,NA,1,1,2,2,NA,NA,0,0,3,3,3,2,4,3,6,4,7,5,NA,NA,4,5,4,2,2,6,NA,NA,5,NA,NA,NA,NA,3,NA,2,2,4,4,NA,6,6,5,4,2,2,2,1,1,1,3,3,1,1,1,0,0,0,NA,NA,NA,0,NA,NA,1,3,1,2,1,1,1,2,3,3,NA,NA,NA,NA,NA,10,2,3,2,4,2,2,3,1,NA,1,5,5,NA,2,2,3,2,2,4,2,2,NA,5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5,2,5,2,2,2014,NA,NA,NA
"1:3087",2,NA,10104,201,NA,16,1,1,1,1,201,1,30,2,2,1,5,2,2,2,2,1,4,4,4,4,3,10,2,NA,2,1,2,1,2,NA,1,0,2,3,1,2,4,5,6,6,6,7,NA,NA,5,4,5,1,5,6,NA,NA,5,NA,NA,NA,NA,2,NA,1,2,2,2,NA,5,6,4,5,2,2,4,10,4,10,10,7,6,4,1,0,0,0,NA,0,0,NA,NA,NA,1,2,2,2,1,1,1,2,3,1,NA,NA,NA,NA,NA,4,1,2,2,2,2,2,12,3,NA,1,1,5,NA,2,1,2,2,2,8,1,1,2,2,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,4,2,6,2,2,2014,NA,NA,NA
"1:3088",2,NA,1104,211,NA,225,1,4,1,1,206,3,33,2,2,1,NA,3,1,2,2,1,2,4,4,4,3,NA,2,NA,1,1,NA,2,NA,NA,1,0,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,1,1,3,3,NA,4,1,2,NA,3,2,1,3,1,2,1,1,4,4,1,0,0,0,NA,0,NA,0,0,NA,2,NA,2,2,1,1,1,2,3,1,NA,NA,NA,NA,NA,1,1,2,2,3,2,2,6,NA,NA,1,1,1,4,2,2,3,NA,3,5,3,3,3,4,4,0,0,0,0,0,0,0,1,1,0,0,1,0,1,4,1,4,2,2,2014,NA,NA,NA
